[NEW_DOCUMENT: DOCid=1, lang=bzd, DOCNAME=Los Bribris y Cabécares de Sulá].	[NEW_DOCUMENT: DOCid=1, lang=spa, DOCNAME=Los Bribris y Cabécares de Sulá].
Ë ̈́́ kuëkï síkuapa rör i kí suLe pa. ~~~ Duás btawa, tse’wo döbö ́ m bö ́ yök, e ́ta ̈aLáLa shke ́mi e ́ rpa, e máma yuerö i yérör kachá kLö ̀ wa, erör könö ́ La, na kuLá,La yue ̀ ke kue ́La, e ́ wa táyeLa pa inúke,se’ ká a Talamanca. ~~~ Inúk diʼ ta ël Këër .	
Míka ikuö ́ kerak di' a e ́ta ̈ di' wö ́ te kewa ̈ ákwa, káL wa, ká ̈köwa, erör di' Lö ́ we ́ka ̈ (e'pakë́ Nemesio Reyes Reyes.	
2013). ~~~ Étä és inúkerak tsá ̈na biö ́ k wíke, iöke,tsáña bieke ák shú a ̈ na i jkómik, é ta ̈ di'La ñaLa yueke bár e ́ ta és idpe ́ yöna ka.	A fines del Siglo XX, a partir de los primeros pasos de un niño, los juguetes de balsa forman parte de sus compañeros inseparables.
Ákta inuk: Étaská ̈öta ib ke itsök, we ́ s se’ wörkirchöwa, ínu se’ eme ás Síkuapa Sibö se’jtö chöwewa.	
Duás bak mi döböm PáyöLse’ Swö ke chöwa.	
8. ~~~ ÌNúk RecreacionWëLe míke ye ́ bLök, nama jchök i neie e'rör we ́pa e ́Lte, i wá kLöna e ́ta ̈ i kámekesuLítenea ̈.	
Itä SuLe rör inó ie, iö ̈ iö̈ täe ́ wa ke ́ kepa ye ble', e ̈́wa imíkerakañíjpök.	
Ë ̈́́ kuëkï síkuapa rör i kí suLe pa. ~~~ Duás btawa, tse’wo döbö ́ m bö ́ yök, e ́ta ̈aLáLa shke ́mi e ́ rpa, e máma yuerö i yérör kachá kLö ̀ wa, erör könö ́ La, na kuLá,La yue ̀ ke kue ́La, e ́ wa táyeLa pa inúke,se’ ká a Talamanca. ~~~ Inúk diʼ ta ël Këër . ~~~ Míka ikuö ́ kerak di' a e ́ta ̈ di' wö ́ te kewa ̈ ákwa, káL wa, ká ̈köwa, erör di' Lö ́ we ́ka ̈ (e'pakë́ Nemesio Reyes Reyes. ~~~ 2013).	Pequeños botes semejantes a los de sus padres o sillitas en forma de tortuga para las niñas, son parte de los más usados en Talamanca. • El Keer o Jugar con el agua: “cuando se encuentran en la quebrada o río donde acostumbran bañarse, efectúan unas “trancas” o sea, unas pequeñas desviaciones de una parte de la quebrada para que el agua se aparte del cauce principal.
Étä és inúkerak tsá ̈na biö ́ k wíke, iöke,tsáña bieke ák shú a ̈ na i jkómik, é ta ̈ di'La ñaLa yueke bár e ́ ta és idpe ́ yöna ka.	
Ákta inuk: Étaská ̈öta ib ke itsök, we ́ s se’ wörkirchöwa, ínu se’ eme ás Síkuapa Sibö se’jtö chöwewa.	
Duás bak mi döböm PáyöLse’ Swö ke chöwa.	
8. ~~~ ÌNúk RecreacionWëLe míke ye ́ bLök, nama jchök i neie e'rör we ́pa e ́Lte, i wá kLöna e ́ta ̈ i kámekesuLítenea ̈.	Ellos acumulan en diversas partes piedras y palos, además de hojas, hasta producir pequeñas represas”.
Itä SuLe rör inó ie, iö ̈ iö̈ täe ́ wa ke ́ kepa ye ble', e ̈́wa imíkerakañíjpök.	
Ë ̈́́ kuëkï síkuapa rör i kí suLe pa. ~~~ Duás btawa, tse’wo döbö ́ m bö ́ yök, e ́ta ̈aLáLa shke ́mi e ́ rpa, e máma yuerö i yérör kachá kLö ̀ wa, erör könö ́ La, na kuLá,La yue ̀ ke kue ́La, e ́ wa táyeLa pa inúke,se’ ká a Talamanca. ~~~ Inúk diʼ ta ël Këër .	
Míka ikuö ́ kerak di' a e ́ta ̈ di' wö ́ te kewa ̈ ákwa, káL wa, ká ̈köwa, erör di' Lö ́ we ́ka ̈ (e'pakë́ Nemesio Reyes Reyes.	
2013). ~~~ Étä és inúkerak tsá ̈na biö ́ k wíke, iöke,tsáña bieke ák shú a ̈ na i jkómik, é ta ̈ di'La ñaLa yueke bár e ́ ta és idpe ́ yöna ka. ~~~ Ákta inuk: Étaská ̈öta ib ke itsök, we ́ s se’ wörkirchöwa, ínu se’ eme ás Síkuapa Sibö se’jtö chöwewa. ~~~ Duás bak mi döböm PáyöLse’ Swö ke chöwa. ~~~ 8. ~~~ ÌNúk RecreacionWëLe míke ye ́ bLök, nama jchök i neie e'rör we ́pa e ́Lte, i wá kLöna e ́ta ̈ i kámekesuLítenea ̈. ~~~ Itä SuLe rör inó ie, iö ̈ iö̈ täe ́ wa ke ́ kepa ye ble', e ̈́wa imíkerakañíjpök.	(Narrado por Nemesio Reyes Reyes, 2013)• En forma de zigzag: escarban (en la arena o entre las piedras de la orilla) cada uno un pequeño cauce alternativo por donde fluye el agua que es desviada por la “tranca” desde el cauce o corriente principal. • Jugar con la piedra: Cuando los niños se van a bañar al río o a la quebrada, en muchas ocasiones efectúan diversos juegos para practicar destrezas de natación.
Ë ̈́́ kuëkï síkuapa rör i kí suLe pa.	Uno de estos juegos es el de la piedra.
Duás btawa, tse’wo döbö ́ m bö ́ yök, e ́ta ̈aLáLa shke ́mi e ́ rpa, e máma yuerö i yérör kachá kLö ̀ wa, erör könö ́ La, na kuLá,La yue ̀ ke kue ́La, e ́ wa táyeLa pa inúke,se’ ká a Talamanca. ~~~ Inúk diʼ ta ël Këër .	El grupo de niños se pone de acuerdo en la orilla y buscan una piedra que tenga un color y forma llamativos, puede ser blanca o roja y con una forma que se pueda fácilmente ubicar.
Míka ikuö ́ kerak di' a e ́ta ̈ di' wö ́ te kewa ̈ ákwa, káL wa, ká ̈köwa, erör di' Lö ́ we ́ka ̈ (e'pakë́ Nemesio Reyes Reyes.	El que encuentra la mejor tiene derecho a tirarla por primera vez.
2013). ~~~ Étä és inúkerak tsá ̈na biö ́ k wíke, iöke,tsáña bieke ák shú a ̈ na i jkómik, é ta ̈ di'La ñaLa yueke bár e ́ ta és idpe ́ yöna ka.	
Ákta inuk: Étaská ̈öta ib ke itsök, we ́ s se’ wörkirchöwa, ínu se’ eme ás Síkuapa Sibö se’jtö chöwewa.	
Duás bak mi döböm PáyöLse’ Swö ke chöwa.	
8.	8.
ÌNúk RecreacionWëLe míke ye ́ bLök, nama jchök i neie e'rör we ́pa e ́Lte, i wá kLöna e ́ta ̈ i kámekesuLítenea ̈.	
Itä SuLe rör inó ie, iö ̈ iö̈ täe ́ wa ke ́ kepa ye ble', e ̈́wa imíkerakañíjpök.	
Ë ̈́́ kuëkï síkuapa rör i kí suLe pa. ~~~ Duás btawa, tse’wo döbö ́ m bö ́ yök, e ́ta ̈aLáLa shke ́mi e ́ rpa, e máma yuerö i yérör kachá kLö ̀ wa, erör könö ́ La, na kuLá,La yue ̀ ke kue ́La, e ́ wa táyeLa pa inúke,se’ ká a Talamanca. ~~~ Inúk diʼ ta ël Këër .	
Míka ikuö ́ kerak di' a e ́ta ̈ di' wö ́ te kewa ̈ ákwa, káL wa, ká ̈köwa, erör di' Lö ́ we ́ka ̈ (e'pakë́ Nemesio Reyes Reyes.	
2013). ~~~ Étä és inúkerak tsá ̈na biö ́ k wíke, iöke,tsáña bieke ák shú a ̈ na i jkómik, é ta ̈ di'La ñaLa yueke bár e ́ ta és idpe ́ yöna ka. ~~~ Ákta inuk: Étaská ̈öta ib ke itsök, we ́ s se’ wörkirchöwa, ínu se’ eme ás Síkuapa Sibö se’jtö chöwewa. ~~~ Duás bak mi döböm PáyöLse’ Swö ke chöwa. ~~~ ËwöuLáuk8.	EducaciónLa transmisión del conocimiento de la cultura, en la educación indígena, según lo narra Rodrigo Torres Hernández “se puede ver desde dos ángulos, antes de la escuela, hasta los años cincuenta, la educación era más vivencial, estaba a cargo de los padres y las abuelas.
ÌNúk RecreacionWëLe míke ye ́ bLök, nama jchök i neie e'rör we ́pa e ́Lte, i wá kLöna e ́ta ̈ i kámekesuLítenea ̈.	
Itä SuLe rör inó ie, iö ̈ iö̈ täe ́ wa ke ́ kepa ye ble', e ̈́wa imíkerakañíjpök.	
Ë ̈́́ kuëkï síkuapa rör i kí suLe pa. ~~~ Duás btawa, tse’wo döbö ́ m bö ́ yök, e ́ta ̈aLáLa shke ́mi e ́ rpa, e máma yuerö i yérör kachá kLö ̀ wa, erör könö ́ La, na kuLá,La yue ̀ ke kue ́La, e ́ wa táyeLa pa inúke,se’ ká a Talamanca. ~~~ Inúk diʼ ta ël Këër .	
Míka ikuö ́ kerak di' a e ́ta ̈ di' wö ́ te kewa ̈ ákwa, káL wa, ká ̈köwa, erör di' Lö ́ we ́ka ̈ (e'pakë́ Nemesio Reyes Reyes.	
2013). ~~~ Étä és inúkerak tsá ̈na biö ́ k wíke, iöke,tsáña bieke ák shú a ̈ na i jkómik, é ta ̈ di'La ñaLa yueke bár e ́ ta és idpe ́ yöna ka.	
Ákta inuk: Étaská ̈öta ib ke itsök, we ́ s se’ wörkirchöwa, ínu se’ eme ás Síkuapa Sibö se’jtö chöwewa.	
Duás bak mi döböm PáyöLse’ Swö ke chöwa.	
8. ~~~ ÌNúk RecreacionWëLe míke ye ́ bLök, nama jchök i neie e'rör we ́pa e ́Lte, i wá kLöna e ́ta ̈ i kámekesuLítenea ̈.	
Itä SuLe rör inó ie, iö ̈ iö̈ täe ́ wa ke ́ kepa ye ble', e ̈́wa imíkerakañíjpök.	
Ë ̈́́ kuëkï síkuapa rör i kí suLe pa. ~~~ Duás btawa, tse’wo döbö ́ m bö ́ yök, e ́ta ̈aLáLa shke ́mi e ́ rpa, e máma yuerö i yérör kachá kLö ̀ wa, erör könö ́ La, na kuLá,La yue ̀ ke kue ́La, e ́ wa táyeLa pa inúke,se’ ká a Talamanca. ~~~ Inúk diʼ ta ël Këër .	Les enseñaban el bribrí a sus hijos, las costumbres, el trabajo y todos los conocimientos ancestrales para poder vivir, el cuidado de la naturaleza.
Míka ikuö ́ kerak di' a e ́ta ̈ di' wö ́ te kewa ̈ ákwa, káL wa, ká ̈köwa, erör di' Lö ́ we ́ka ̈ (e'pakë́ Nemesio Reyes Reyes.	
2013). ~~~ Étä és inúkerak tsá ̈na biö ́ k wíke, iöke,tsáña bieke ák shú a ̈ na i jkómik, é ta ̈ di'La ñaLa yueke bár e ́ ta és idpe ́ yöna ka.	Les expresaban que dañar un árbol, el agua, es hacerse daño a ellos mismos, les enseñaban el trabajo, las celebraciones, compartir con la familia.
Ákta inuk: Étaská ̈öta ib ke itsök, we ́ s se’ wörkirchöwa, ínu se’ eme ás Síkuapa Sibö se’jtö chöwewa.	
Duás bak mi döböm PáyöLse’ Swö ke chöwa. ~~~ Ë̈́ wata it sörak se’ wák pa e yu wökdLuáuLa pa jkachök. se’ jtewa, se’ swöwa, kíjke ape tsö skpimuk ká kibíki eparör u yuLe ̈́ e kie skímuk ká kibiki epa röru yuLe e kie Departamento deEducación ská ̈wak ia. ~~~ Ás a Láttsítsi edLuáuLa pa uLítene tse’r kájke e swákpaíyi tsátchök, ás ke i swö me ̈́at irir. ~~~ Iñeta weLe weLe ibk se’ne ke söi meattái bLe ke kepa útmi, iö iö mi rö íjke.	El otro ámbito es después de la escuela, que los niños se encontraron con que no se podía hablar su idioma porque el maestro no entendía y empezaban los niños a sentir pena por su idioma, a perder los elementos básicos de ser indígena, así como las prácticas culturales, por lo que actualmente es una lucha constante que el estado está haciendo para rescatar lo que queda y seguir recuperando la cultura indígena” (2013).
Itaswö kirpa weLe yö ste ̈́ chök, míka swöterke ská ̈ kuek, we ́ s skene bLöke, ñíjkeese’ swö tsátchök we se’ ská ̈wak tsö ia eerö.	
EwöuLáuk EducacionRodrigo Torres Hernandez i pake ̀ we ́ ̈s se'wöuLáne iö ̈ iö̈ tä.	
Ë' ke ́ wota ká ̈mi sì́kua jtö ̀rö ski ̈.	
Míka ̈ iö̈ iö̈ tä.	
Ë' ké wota ká ̈mi síkuajtö rö ski ̈.	
Míka ̈ dúas bák döböm skéyok, e ́ ta ̈ syepa, swíkeLa erör aLattsitsíkácheke se jtöwa, swö' wa, se' kane ̀ íyiuLítene e wa.	
Sé̈no ie buá e kíjke we ́ ̈ ská̈wotä ke ́ rwadLo yök, míka sökaL bke ́ e e ́ me ke sö di'jköne.	
Ká ̈wö jchömi táin, e ́ reta kö ̈kö ́ s ta ̈e' rene se' ki ̈ due ie.	
Ë' ke ́ wota ̈ iä i káyenarak ská ̈ kaneblök añíta. ~~~ Ie ́ tok kicha rörmikä síkua yö ́ uLe re skáchök e ́ ta ̈Ë̈́ wata it sörak se’ wák pa e yu wökdLuáuLa pa jkachök. se’ jtewa, se’ swöwa, kíjke ape tsö skpimuk ká kibíki eparör u yuLe ̈́ e kie skímuk ká kibiki epa röru yuLe e kie Departamento deEducación ská ̈wak ia. ~~~ Ás a Láttsítsi edLuáuLa pa uLítene tse’r kájke e swákpaíyi tsátchök, ás ke i swö me ̈́at irir. ~~~ Iñeta weLe weLe ibk se’ne ke söi meattái bLe ke kepa útmi, iö iö mi rö íjke.	Para los bribris, según algunos entrevistados sobre la materia, lo más importante es mantener el idioma y su cultura, para comunicarse con la naturaleza, con el mundo, con el entorno y con ellos mismos; la “transculturación” ha impactado también otros elementos culturales que han colaborado con la pérdida poco a poco del idioma como ha sido la religión.
Itaswö kirpa weLe yö ste ̈́ chök, míka swöterke ská ̈ kuek, we ́ s skene bLöke, ñíjkeese’ swö tsátchök we se’ ská ̈wak tsö ia eerö.	
EwöuLáuk EducacionRodrigo Torres Hernandez i pake ̀ we ́ ̈s se'wöuLáne iö ̈ iö̈ tä.	
Ë' ke ́ wota ká ̈mi sì́kua jtö ̀rö ski ̈.	
Míka ̈ iö̈ iö̈ tä.	
Ë' ké wota ká ̈mi síkuajtö rö ski ̈.	
Míka ̈ dúas bák döböm skéyok, e ́ ta ̈ syepa, swíkeLa erör aLattsitsíkácheke se jtöwa, swö' wa, se' kane ̀ íyiuLítene e wa.	
Sé̈no ie buá e kíjke we ́ ̈ ská̈wotä ke ́ rwadLo yök, míka sökaL bke ́ e e ́ me ke sö di'jköne.	
Ká ̈wö jchömi táin, e ́ reta kö ̈kö ́ s ta ̈e' rene se' ki ̈ due ie.	
Ë' ke ́ wota ̈ iä i káyenarak ská ̈ kaneblök añíta.	
Ie ́ tok kicha rörmikä síkua yö ́ uLe re skáchök e ́ ta ̈aLáttsítsí isué ̈, k è̀ iepa ñijtö áne.	
ÉkuekiaLáttsítsi ae ́ ñaka ̈, e ́kueki ̈ ítä se' kib ́ ie se'íyi weiké .	
Éta ̈ síkuapa wé ̈Le ke rö sméat,ie ́ pa tsö' i keneu ̈k, ítä (2013).	
É rör wé̈wouLá we ̈ e' jtöke ke ská ̈ wöta ̈ se' íyiwé i k ör.	
Ét a ̈ e ́ rör skimemi se ́ ̈nuk buáeke ́rwa dio ta ̈, se' pámik ichkít e ́ ̈nä i wákpa tä.	
Étä sḱwöta ibke ́ itsök, we ́ ̈ se' wö ́ rkirchö ́ wa ínu se' e ́me á ̈s síkuapa Sibö ̀ jtese' chö ́ we ̈wä.	
Duás bák mi döböm páyoLkí̈ suLítöm e ́ta ̈ skáchöke e' wökirpa tá ̈ine' tsö' íta ̈ kanebLök drere e ̀ wökirpa tá ̈ine' tsö' íta ̈ kane blok drere e, as se jte, seswö' ke ̀ chöwa.	
É kue ̈kï tä itsörak se' wak pa e' yuwö ́ kduLáuLa pa jkáchök se' jtewa, se' swö'wa, kíjke ape' tsö' skí ̈muk ká kibí ki ̈ é p ar ö r u y u L é é s e k e n e w ö ̈ ie e kieDepartamento de Educacìón erör ská ̈wak ia ̈. ~~~ Á́s aLáttsítsi e ̈́na duLá uLa pauLítene tser kájke e, e ́ erö skácheke, áske s swö' chöwa.	En la década de los ochenta y noventa el Ministerio de Educación Pública, empieza hacer grandes esfuerzos para fortalecer el idioma y la cultura con el nombramiento en escuelas de maestros indígenas de cultura y lenguaje.
Íñeta we ̈́Le we ̈́Le ibkeitsene, ke sö ̀ i mé attáin ble' kekepa útmi, io ̈ iö mi rö íjke.	
Ita ̈swökirpa weLe yöna e ̈́nä ká̈ á̈na é ta stéche ́ mi, míka ̈ swöterke ská ̈ kuëkï, w é sske nebLöke, ñíjke e, se' swö' tsáchök,wë́ se' shá ̈wak tsö' ia ̈ e erö. aLáttsítsí isué ̈, k è̀ iepa ñijtö áne.	
ÉkuekiaLáttsítsi ae ́ ñaka ̈, e ́kueki ̈ ítä se' kib ́ ie se'íyi weiké .	
Éta ̈ síkuapa wé ̈Le ke rö sméat,ie ́ pa tsö' i keneu ̈k, ítä (2013).	
É rör wé̈wouLá we ̈ e' jtöke ke ská ̈ wöta ̈ se' íyiwé i k ör.	
Ét a ̈ e ́ rör skimemi se ́ ̈nuk buáeke ́rwa dio ta ̈, se' pámik ichkít e ́ ̈nä i wákpa tä.	
Étä sḱwöta ibke ́ itsök, we ́ ̈ se' wö ́ rkirchö ́ wa ínu se' e ́me á ̈s síkuapa Sibö ̀ jtese' chö ́ we ̈wä.	
Duás bák mi döböm páyoLkí̈ suLítöm e ́ta ̈ skáchöke e' wökirpa tá ̈ine' tsö' íta ̈ kanebLök drere e ̀ wökirpa tá ̈ine' tsö' íta ̈ kane blok drere e, as se jte, seswö' ke ̀ chöwa. ~~~ É kue ̈kï tä itsörak se' wak pa e' yuwö ́ kduLáuLa pa jkáchök se' jtewa, se' swö'wa, kíjke ape' tsö' skí ̈muk ká kibí ki ̈ é p ar ö r u y u L é é s e k e n e w ö ̈ ie e kieDepartamento de Educacìón erör ská ̈wak ia ̈. ~~~ Á́s aLáttsítsi e ̈́na duLá uLa pauLítene tser kájke e, e ́ erö skácheke, áske s swö' chöwa. ~~~ Íñeta we ̈́Le we ̈́Le ibkeitsene, ke sö ̀ i mé attáin ble' kekepa útmi, io ̈ iö mi rö íjke.	Además con la creación del Departamento de Educación Indígena para fortalecerla y fomentar en sus niños y jóvenes el orgullo de conservar sus raíces no perder la cultura que los mayores enseñaron y ha ido pasando de generación en generación.
Ita ̈swökirpa weLe yöna e ̈́nä ká̈ á̈na é ta stéche ́ mi, míka ̈ swöterke ská ̈ kuëkï, w é sske nebLöke, ñíjke e, se' swö' tsáchök,wë́ se' shá ̈wak tsö' ia ̈ e erö.	Aún hoy día muchos líderes comunales luchan por sus derechos legales, políticos, sociales y culturales en cada lugar donde hay un indígena.
[END OF CHAPTER].	[END OF CHAPTER].
[NEW CHAPTER: CAPÍTULO 1 , DOCid=1, lang=bzd].	[NEW CHAPTER: CAPÍTULO 1 , DOCid=1, lang=spa].
PARTE II CAPÍTULO 1 Los Cabécares de Sulá Ttë bla botkö ska Ttë wökuchí taí etka ska Sulá je ditsöwa kie cabécar 1.	
Sajertsö je dëltë, je konel je s iwei. ~~~ Significado y origen del nombre itsö cabercar wate i- she Sibö newa jiewa datë r ö kuöwö ie, je wö jerö parö kuawa, pata dolona, kokó, bachá, jemi suruna, jewa nerö sajertsö ditsö rö, je töbiatka Siböte kábata kie Yúmbta, kaspa je étaga, kábata t aí je bata k ika, jéskane sögötö sa tsikinel bënarö, jewa nete ji ka kijukawa chulirö, jayiw a irö, jemi aláglöwa nera biköle.	D Significado y origen del nombreara los cabécares su origen desciende directamente de las semillas de Sibö que las traía de diversos colores como el negro, amarillo, café, blanco, que representa los grupos humanos, las esparció y sembró en el cerro Yumbatá, en San José Cabécar, en lo más alto de la cordillera Talamanca, lugar sagrado donde se diseminaron y se formaron los hombres.
2.	2.
Kápakë s iwá kebí w a. ~~~ Cosmogonía Miga Siböte ji ka je yuaítera sögötöra, jera ják, ksáña mul ei jewa wöchaka jebö tso je k éískarö, ka j íshökö ta, kaji kunata, ji ana ksëka ka je kúnata. ~~~ Sibö je kalawa kie k ábalawa. ~~~ Sak ébalawa, Sajertsö je dëltë, je konel je siwei.	
PARTE II CAPÍTULO 1 Los Cabécares de Sulá Ttë bla botkö ska Ttë wökuchí taí etka ska Sulá je ditsöwa kie cabécar 1.	
Sajertsö je dëltë, je konel je s iwei. ~~~ Significado y origen del nombre itsö cabercar wate i she Sibö newa jiewa datë r ö kuöwö ie, je wö jerö parö kuawa, pata dolona, kokó, bachá, jemi suruna, jewa nerö sajertsö ditsö rö, je töbiatka Siböte kábata kie Yúmbta, kaspa je étaga, kábata t aí je bata k ika, jéskane sögötö sa tsikinel bënarö, jewa nete ji ka kijukawa chul irö, jayiw a irö, jemi aláglöwa nera biköle. ~~~ 2. ~~~ Kápakë s iwá kebí w a.	
Cosmogonía Miga Siböte ji ka je yuaítera sögötöra, jera ják, ksáña mulei jewa wöchaka jebö tso je kéískarö, ka jí shökö ta, kaji kunata, ji ana ksëka ka je kúnata.	
Sibö je kalawa kie kábalawa. ~~~ Sakéba lawa, Kápakë siwá kebí wa. jéwate Sibö ji j íshögö je yuwösá , kal bëna, bëwák bëna, k ábata t ai, dilö je yuwaite jewa rö jiata jemi köyirta.	CosmogoníaCuando Sibö estuvo en la tierra por primera vez, se encontró solo piedras y arena por todo lado, porque no había suelo, no existía ningún ser viviente.
Sa sikëbölöwá jewawá jilé bëna, bëwák, kal, diglö jerö shkata, oloita, biketseite taí Jene kueki jiewa jete bulsiké t aí, jiewa ksö, tsuí sigö, oló bul, dulurba bul, itsö këglö je bul sigöta t aí bënasí.	
Saje ditsöte je sená bëna jilé bëwák ts o sa pami jewara, mané Sböte sa ia kameljataná jebi, jera ka sa mero miga sa blena wara, maí sa marömi sa Sulá kaska jera.	
Je kápaké taí je siwá, jerö s awá jilé bëna je ölötsoglö, shkalwaglö, jemi je kaku kateguerö wóbalawá, elkebö karö t aí, ka je weike guna. ~~~ 3. ~~~ J íshögö je yönel.	
Creación del universo Ditsö Cabecarwá jemi bribriwá, jewa kápagö jemi i siwá rö ñas uta, jiwa ka ñakñá jera jiewa ju yuwö rö ñasuta.	
Jöi ju tsábata jerö dalabuluktö je oloi, je mei. ~~~ Jutsine je yuwé shkiritke je kawo meljataná rö Sibö je nete, je jútsiné je juktö yölërö pamole rö tkitöbö kichá 3. ~~~ Jíshögö je yöneljéwate Sibö ji j íshögö je yuwös á, kal bëna, bëwák bëna, k ábata t ai, dilö je yuwaite jewa rö jiata jemi köyirta.	Sin embargo con el trabajo de los seres sobrenaturales, Sibö finalizó la creación del Universo, haciendo la conformación de la tierra y de la naturaleza, las plantas, las montañas, los animales, los ríos, como seres vivos que sufren y lloran.
Sa sikëbölöwá jewawá jilé bëna, bëwák, kal, diglö jerö shkata, oloita, biketseite taí Jene k ueki jiewa jete bulsiké t aí, jiewa ksö, tsuí sigö, oló bul, dulurba bul, itsö këglö je bul sigöta t aí bënasí.	Es la identificación con los animales y el ambiente, manifestado también cuando le cantan o danzan a dichos elementos; el daño causado es castigado, no hablan mal del tiempo, de la lluvia, por ejemplo.
Saje ditsöte je sená bëna jilé bëwák ts o sa pami jewara, mané Sböte sa ia kameljataná jebi, jera ka sa mero miga sa blena wara, maí sa marömi sa Sulá kaska jera.	Si cumplen bien ese cariño vivencial, con las reglas dadas por Sibö, después de la muerte, regresan al lugar de donde vinieron.
Je kápaké t aí je siwá, jerö s awá jilé bëna je ölötsoglö, shkalwaglö, jemi je kaku kateguerö wóbalawá, elkebö karö t aí, ka je weike guna.	Es una cosmogonía espiritual, en el valor y respeto a cada elemento de la naturaleza, a través de una relación armoniosa y uso racional de los recursos naturales.
3.	3.
J íshögö je yönel. ~~~ Creación del universo Ditsö Cabecarwá jemi bribriwá, jewa kápagö jemi i siwá rö ñasu ta, jiwa ka ñakñá jera jiewa ju yuwö rö ñasu ta.	Creación del universoLos cabécares al igual que los bribris, conciben el universo como una gran casa cónica.
Jöi ju tsábata jerö dalabuluktö je oloi, je mei.	La parte superior es el cielo (techo).
Jutsine je yuwé shkiritke je kawo meljataná rö Sibö je nete, je jútsiné je juktö yölërö pamole rö tkitöbö kichá kashaka. ~~~ Sögöto jerö Sibö, dayë, talayaké jemi kawö jené katatënel jatana rö, bëna jewa tso siwakiká, kashaka sená etkeyërö, Bótobö kicha iwökjielerö jerö, ditsö, sajertsö senaglö ji jíshögö, ka yöbí je batá ki rö, jeska bëwák, kal, jemi káblawa, juíbuluwa je sérguerö, ka jerö sajertsö guna. ~~~ Mañatöbö gichá iwöjielerö jerö Sulá ka ska, jerö ka bárama sigëglöwa barama jewané sergué jeska rö, jekkepa jirö bëna selwiwa jewa ka juërta, maískalera ijuërgué bëwák suta, naí suta, tkabë suta, jewa sergue rö kalyögö dikinaga kadiar jeska. ~~~ Tkítöbö guichá iwöjielerö jeskane kawö tsikir guerö kadiar, jes ka jilé selwí, jemi jilé böi je tsikirgue jewa tkögue julur ji jishögö je bata kigarö. ~~~ Jilé bëna kal, bëwák erö tkabita, juagueta, je pauke kerö juíbulú babá jewa shtöte, jemi maleskara juíbulú selwí jewa tso ña ijanaga atara ka je dölöitse guna anasí.	La forma cónica fue dada por Sibö al cubrir y techar la gran casa universal, que consta de cuatro divisiones cosmológicas: la primera división la conforma Sibö, el mar, trueno y el sol que está en el cielo, la segunda división está conformada por la tierra, el mundo de los hombres, animales, plantas y sus dueños, los diablos y los que no son cabécares, la tercera división está conformada por el mundo de Sulá (espíritu bueno), y los malos que son invisibles, aparecen bajo formas de animales, como la danta, serpientes, que habitan las partes de menos acceso del bosque, es el mundo inferior.
Si wá taí, kibí, jewa sate pague tsanasí jera je ditsöwö cabecarwá jewa tsikinelrö kawö je tsikir yiga, jete Siböte je tsëwa báwa köjunmi, kanérama. ~~~ 4.	La cuarta división la cual es el lugar que se encuentra debajo de donde nace el sol, de donde vienen las cosas buenas y malas que pasan en la tierra.
Kápague ba sikírama narraciones sagradas kashaka. ~~~ Sögöto jerö Sibö, dayë, talayaké jemi kawö jené katatënel jatana rö, bëna jewa tso siwakiká, kashaka sená etkeyërö, Bótobö kicha iwökjielerö jerö, ditsö, sajertsö senaglö ji jíshögö, ka yöbí je batá ki rö, jeska bëwák, kal, jemi káblawa, juíbuluwa je sérguerö, ka jerö sajertsö guna.	
Mañatöbö gichá iwöjielerö jerö Sulá ka ska, jerö ka bárama sigëglöwa barama jewané sergué jeska rö, jekkepa jirö bëna selwiwa jewa ka juërta, maískalera ijuërgué bëwák suta, naí suta, tkabë suta, jewa sergue rö kalyögö dikinaga kadiar jeska.	
Tkítöbö guichá iwöjielerö jeskane kawö tsikir guerö kadiar, jes ka jilé selwí, jemi jilé böi je tsikirgue jewa tkögue julur ji jishögö je bata kigarö.	Cada cosa creada, tiene un dueño, el mundo está manejado por espíritus buenos, malos y otros perversos a quien se les teme pero no se les respeta.
Jilé bëna kal, bëwák erö tkabita, juagueta, je pauke kerö juíbulú babá jewa shtöte, jemi maleskara juíbulú selwí jewa tso ña ijanaga atara ka je dölöitse guna anasí.	
Si wá taí, kibí, jewa sate pague tsanasí jera je ditsöwö cabecarwá jewa tsikinelrö kawö je tsikir yiga, jete Siböte je tsëwa báwa köjunmi, kanérama.	La realidad mítica de los cabécares es que nacieron antes que el sol y fue celebrada toda la noche por Sibö.
4.	4.
Kápague ba sikírama narraciones sagradas 4. ~~~ Kápague ba sikíramaKápague” Siguëglö Kawö jemi yabala sërikëwá ”Narración “El señor Sol y los niñitos huracanes”: Los niños cabéc ares se levantan muy temprano.	Narraciones sagradasEntre ese universo de narraciones sagradas que tienen los Cabécares hemos seleccionado algunas de ellas, a continuación: Narración “El señor Sol y los niñitos huracanes”:Los niños cabécares se levantan muy temprano.
Apenas el señor sol comienza a asomarse y a mostrar sus primeros rayitos, ellos tienen la esperanza de ver a los “s ërikë”, que son tres pequeños huracanes niños, muy traviesos.	Apenas el señor comienza a asomarse y a mostrar sus primeros rayitos, ellos tienen la esperanza de ver a los “sërikë”, que son tres pequeños huracanesniños, muy traviesos.
