[NEW_DOCUMENT: DOCid=4, lang=gym, DOCNAME=El Mundo Ngäbe: Entre Costa Rica y Panamá].	[NEW_DOCUMENT: DOCid=4, lang=spa, DOCNAME=El Mundo Ngäbe: Entre Costa Rica y Panamá].
Tä tre jodron uai sribere bätä erato. ~~~ Kra däteNi brare tä kra kite ja drübtä ye utuate kri krägue, tä ngwen ja tribe ngwäre.	Las mujeres Ngäbe fabrican el hilo para que quede resistente y delgado, retorciendo la fibra con las manos, dándoles movimientos hacia arriba y hacia abajo sobre el muslo de la pierna.
Ye so, kägotó, btä ngwian, jodron kiaga jökrä ngweana. ~~~ Ruäre kra ye däteta krigri, monso ngwana kä mendebti, jadugara ie erato.	A causa de la escasez de materia prima en el bosque, que está haciendo arrasado con la tala de árboles por los madereros, se ven obligados a comprar productos sintéticos como el hilo plástico.
Ye batä sribira i deana, aro tigara btä jodron migare koinMetä re jodron sribira ye kite nega, kä togwä o kä mu netä tä jögra, nitre ruäre nibira ko nailore ye kögö jerekäbe.	Sombreros. ~~~ Se obtienen de la materia prima de una variedad de palma; entrelazan el tejido de modo continuo y van formando largas fajas; utilizan un tronco de madera de balsa o burío para hacer el molde y unir cada una de las fajas cosidas y teñidas de color negro, café entre otros; las entrelazan con un hilo delgado y listo para uso.
Sombre ye sribetä toboa bti, ye kwitä niguen nga bti digatä moletubtä.	Se cotizan en los mercados artesanales porque además de verse decorados, elegantes son resistentes, fuertes y resistentes a la humedad.
Ye sribetä ngwen btä toron.	Pulseras, collares, chaquiras y aretes.
Sombre ne utuate kri kögata krübäte ñakä niguen ngwarbe jötrö.	Se fabrican de semillas obtenidas en el bosque; su combinación de colores y utilización de figuras y trazos hacen que sean atractivas para la venta y comercio. .
12.	12.
	FestividadesLa principal fiesta la realizan una vez al año que se llama La Balsería, es su máxima expresión, significa amistad, rivalidad y competencia; se celebra en tiempo de verano en febrero y marzo generalmente en Conteburica y en la Casona.
Ja nägwitagräKrün abra sribetä kä kwatire, ja bugatä , ja käratä ja gata kri nitregwe.	Actualmente se está haciendo en las escuelas con actividades culturales se hacen demostraciones y la gente juega.
	La balsería es una competencia con dos equipos y un grupo invitado, se organiza y hacen la actividad, cada uno va aportar la comida por persona, se acostumbra a tener mucha comida y chicha entre otros.
	Para el día de la balsería empieza el juego, según el tipo de balsería, ese día participan muchos grupos, son los que se van a volar palo, es un juego que trata de pegarle en la pantorrilla, hay que desequilibrarlo, deben ser muy rápidos, brincar o quitándose para que no le den, porque se lo tiran y tiene que esquivarlo, se le pega en mala parte en los tobillos, hasta ahí llegó, empiezan desde las 5 am y permanecen todo el día, Días antes de la celebración de una balsearía hay familias enteras invitadas y comienzan a hacer el viaje llevando todo lo que pueden consumir de camino, hasta llegar al lugar de la actividad.
	Siempre los grupos familiares están compuestos por el jefe de casa y sus varias esposas e hijos se movilizan con sus coloridos vestidos, así como el jefe que se distingue por los adornos que lleva especialmente para el juego.
Ye nitre nunanga kä madabti käratä jae, ye kädegata Etebali Kugueni abugon Ebali Gwiri kä tä kärere.	Los sombreros llevan hermosos plumajes de lapas o quetzales que forman un hermoso penacho, las camisas adornadas en el cuello con hermosos collares y colmillos de fieras.
	Sobre su espalda llevan un hermoso cuero de manigordo o tigre, lo que da testimonio de un buen cazador ya que el cuero les sirve para bloquear cualquier golpe de la balsa en las pantorrillas y por último la pintura facial en rojo, blanco y negro desarrollando motivos geométricos.
Ne näire jabugatä mröbti, döbti ngribti, kwibti jodron jökrä biti.	Según la historia del pueblo Ngäbe Bugle existen varias celebraciones de la balsería y varía según su importancia.
Nitre tä jagain krün ngwarbebiti aune krün kabre biti erato.	Balsería General: En esta balsería solo hay un Kobubu en ambos grupos esta es la balsería que más se celebra en todo la región Ngäbe .
Nitre tä nugue käbre.	Balsería de amistad.
Nitre kubobu kätä kugwe ne noaine, nie garetre kuin.	Organizador que invita a otro de otra región para un lazo de amistad.
Ja dätebare krübäte kwe ye nie gare kuin.	Balsería Gemela: Es de gran importancia en la región ya que consiste en realizar dos bolserías juntas.
Ja datebare krübäte kwe ye nie tä nurie ngwen, Krwa kwatä , roga kä, mura nuriei aune ja migani tuare ngwarebtä kwetre, ne ni krün kitäga kri.	Balsería de Curación: Se realiza cuando alguien en otra balsearía ha sido golpeado con el balso.
Krün keta käbre sribetä ni ngäbe ngätäite.	Entonces es puesta la persona en aislamiento.
Ye ari tointari. ~~~ Krün ngwarbe: Nete ni jökrä tä krün kite segwäre btä negware, ja tä gatä kwarigwari, nitregwe.	Se convoca una balsería de curación que dura hasta el medio día y consiste en quemar con un cuchillo al rojo vivo la infección producida por el golpe de la balsa.
	Las balsas que se utilizan para jugar, miden aproximadamente de cinco a seis pies de largo y de ancho tres o cuatro pulgadas y con la parte del extremo es redondo en el cual se golpea.
Krün ja ketära ja mägara: Ye kobubu gwiri kätä kobubu kä madabti käre jae, ne ja migara gare.	Generalmente para la vela se mantiene sobre una talanquera que permanece custodiado toda la noche.
Krün muguine: Krün ne sribetä ketebu jire ja kontibe köböbutregwe.	Las Chiqueretas. ~~~ Es una especie de pequeños ranchos cercados con bambú, con madera redonda que se construye en la actividad de la balsería.
Krün ogue: Krün ne kitätä ngwana ruärebe ne krün matä ni kuin nibtä abugon ye näirekugwagata .	En estas Chiqueretas tienen la chicha, la cocina donde preparan los alimentos y bebidas para los asistentes.
Ye ngitra judatu tä mbrere biti ja kugwagatä Krün kitä tä ye krün bäsi ngrwaiti jire ye tigagatä käbre bti migatä jonbiti kä te ruäre biti ngwatetä bätä metare abugon jetebere kitäre mada.	En cada chiquereta se posesiona una familia donde hay chicha, comidas, mojosos, bollo de maíz, chile picante molido con pescado y tienen además pinturas faciales.
Ki: Ki ki ne sribetä krün jutä ibtä , konti nitre köböbu, tä nemen nnüentube, ne konti dö migani mrö sribetä kwatädre nonga krünbtä yei.	El objetivo es realizar trueques o intercambio entre los visitantes que viene de otra región a la fiesta de la balsería.
Ruäre tä ngiba kwaga sribere, sadron sa btä jodron kiaga mada.	El agüito: toma del cacao.
Kwa natä: Kwa oreba ñatä ye utuate kri ni ngäbegrä Ñatä köbö bägä te, ye nitre tä nugue käbre bätä ye naire krägä sribetä aune ni jugatetä , monso mubaigwe, Chogali juandretä ri nibtä käre.	En la tradición del pueblo Ngäbe el cacao es considerado como un fruto sagrado.
Kugwe ne sribetä aune kruso migatä jite jite kongrabare aune kebe kuguatä erato dibire, ye kogrä naingo abugon minianenta kruso ngärä nitregwe Ni ngäbere tä nura nögö kwetädre, ruäre tä sribi däte nuaine.	Es la celebración de la toma de cacao durante cuatro noches, donde se reúnen los ancianos, jóvenes niños o niñas y muchos vecinos con el fin de escuchar las historias, narraciones y a la vez todos reciben un baño sagrado con hojas de plantas con olor muy especial para protegerse de los malos espíritus.
Jodron ñakä tä nemen aune ruäre tä nigue ganane, tä tre niguen kuglu ügögrö tibientä ye merire, manso brare tä niguen. ~~~ Ruäre tä nemen monsoi kia ngübüare gwi.	El ejecutar la celebración del agüito pone en los caminos que entran para su casa cruces de balsa con figuras humanas y alrededor de estas cruces enrollan una especie de bejucos llamados bejuco de “Tulivieja” y cerca de estas ponen nidos de comejenes encendidos que humean toda la noche.
[END OF CHAPTER].	[END OF CHAPTER].
[NEW CHAPTER: Aspectos Geográficos, Físicos, Culturales, Económicos y Biodiversidad.	[NEW CHAPTER: Aspectos Geográficos, Físicos, Culturales, Económicos y Biodiversidad.
CAPÍTULO 2 , DOCid=4, lang=gym].	CAPÍTULO 2 , DOCid=4, lang=spa].
N1.	L1.
Ni Ngäbe kae miganintube tibien i ngäbere tä Costa Rica ne ye ñan gwä krire, nomenentre kone Bocas del Toro segri Chiriquigri btä Veraguagri, metäre kä tä Panamangwe.	Geografía Física Ubicación territoriala presencia Ngäbe en costa Rica data de algunas décadas pero durante la colonia habitaban Bocas del Toro, Chiriquí y Veraguas hoy jurisdicción panameña.
Kirabe Costa Rica nomene kä migue jagwe nemenbe Veragua, me den kisete, ni Ngäbe ne Costarrikäbura niera.	En aquella época los Ngäbe pertenecían a Costa Rica porque hay registros de mapas donde parte de su población Ngäbe le correspondía a Costa Rica. .
Kä Archivo Nacional konti kugwe ne tä migani täräbtä. perteneciente a Costa Rica.	Estos son también representantes del phylum lingüístico ChibchaMaya.
	Su presencia en Costa Rica data de algunas décadas, pero durante la Colonia habitaban la región de Bocas del Toro, en la vertiente Atlántica, hoy jurisdicción panameña pero LocalidadesAltos de San AntonioProvincia: Puntarenas, Cantón Corredores, Distrito CanoasAltos de San Antonio2.
Metäre abugon Ngäbe tä nune kä ketä rigue te ye kä kore: Guaymí de Coto Brus.	Los Ngäbe de Costa Rica se encuentran en la Vertiente Pacífica en cinco territorios indígenas.
Conte Burica, Guaymí de Osa, Abrojo Montezuma btä Altos de San Antonio ne ne mengatä frontera aune, Alto Laguna abugon bari tä jategäre ne Corcovado ken.	Habitan los territorios Indígenas de Guaymí de Coto Brus, Abrojo Montezuma, Osa, Conte Burica, y Altos de San Antonio al sureste de la provincia de Puntarenas, colindando con Panamá.
Territorio Ubicación geográficaAbrojoMontezumaProvincia: Puntarenas, Cantón Corredores, Distrito CorredorMontezuma Bajo de los IndiosBella VistaGuaymí de OsaProvincia: Puntarenas.	A partir de referencias históricas, muchas tierras del sur de Costa Rica conformaban parte del territorio patrimonial de los Ngäbe, por lo que éstos solamente “regresaron” a estas tierras.
Cantón Osa. ~~~ Distrito SierpeAlto LagunaGuaymí de Coto BrusProvincia: Puntarenas, Cantón Coto Brus, Distrito LimoncitoAlto Unión, Betania,Caño Bravo, Copey Abajo, Copey Arriba, Villa Palacio, La Casona, Mrüosara, Brus MalisConteburicaProvincia: Puntarenas, Cantón Golfito, Distrito Pavón, LaurelAltamira, Alto Conte, El Progreso, Los Plancitos, Las Vegas, Río Claro.	El único caso de ocupación “nueva” corresponde al de Osa, producido por migración desde Coto Brus hace aproximadamente 30 años.
Alto Río Claro, Río Coco, Caña Blanca,Carona La Palma Alto Buriquí y Alto Guaymí2.	La situación de este grupo es de relativo aislamiento hasta los años 19401960, cuando se dio la apertura de la carretera Interamericana.
Metäre abugon Ngäbe tä nune kä ketä rigue te ye kä koreGuaymí de Coto Brus.	Las comunidades de AbrojoMontezuma y Altos de San Antonio se encontraban en los años 40 en un mismo espacio físico y social, hoy día están separadas.
Conte Burica, Guaymí de Osa, Abrojo Montezuma btä Altos de San Antonio ne nemengätä frontera ken aune Alto Laguna abugon bari tä jategäre.	Varios historiadores mencionan que se dio una alianza con los Térrabas, ante el acoso de los Zambos Mosquitos y Bucaneros en esta parte de la vertiente Atlántica.
Kä Guaymí Coto Brus ye käe kiaga kädegatä Alto Unión, Betania,Caño Bravo, Chotal, Las Vegas, Pital, Copey Abajo, Copey Arriba, Finca Villa Palacio, La Casona, Murosara, Brus Malis.	Es posible, que los casos de agresión contra sus posiciones, propiciara que algunos Ngäbe de la parte Caribeña se desplazaran al sector pacífico y poblaran las zonas que hoy los asientan tanto al lado panameño como en nuestro país.
Conte Burica ye käe kädegatä kore. ~~~ Altamira Alto Conte, El Progreso Vista Dulce, La Vaca, Las Vegas Plancitos.	Se debe tener presente, que la división de Ngäbe costarricenses y panameños, se debe a la creación de la línea fronteriza; pero el pueblo Ngäbe es una sola nación.
Ngäbe Abrojo ye käe tärä kä kore: Montezuma, Alto Zoncho, Alto Rey,San Rafael Norte Bajo los Indios btä Bella Vista Kä Guaymí de Osa käe tärä ye kä kore: Alto Laguna, Dos brazosKä Altos de San Antonio ye käe kä kore: Altos de San Antonio, Kirabe kä fronteragri ye nomene jökrä Ngäbe kisete, meden kisete Ngäbegwe nontebareta ja käite aune kä nugue metäre ne.	Los Ngäbe en la zona sur de Costa Rica, se distribuyeron primero en cuatro territorios: Guaymí de Coto Brus, Abrojo Montezuma, Conte Burica y Osa. ~~~ Posteriormente en mayo del 2001 se creó el territorio de Altos de San Antonio, cerca de la frontera de Costa Rica con Panamá.
Medente ara konti Ngäbe nigani nune mrä ye Osa ne nitre nomene nune Coto Brus nigani koregwäre bäsi kä 30 näre. cuencas hidrográficas que forman los ríos: Ji kri tiganinga aune Ngäbe Abrojo btä Alto San Antonio, nomenena nunentube meguera ne bäsi kä 40 ye näire, meden tä konime erere ñökä jakontibe.	En Coto Brus, los suelos son arcillosos, producto de aluviones y sedimentos volcánicos, consolidados, de drenaje moderado y medianamente fértiles.
Chuitre ruäre kätä niere, ye Ngäbetre Terraba kägwe ja mägani nguite gro zambobtä misquitobe btä Bucanerobe ne kä mitringri (Vertiente Atlantica)Namani nagainga ne krwere abugon Ngäbe nunanga mitringri, jatäni motorigri meden tä konime Costä Rica btä PanamagriNe migadretäri ñärärä ñobtä Ngäbe Costa Rica aune ñöbtä Ngäbe negri btä segri ye arabetä jogra kugwe kratibe.	Según el Ministerio de Agricultura y Ganadería tienen un potencial de uso en cultivos perennes y ganadería intensiva, para cultivos anuales con prácticas de conservación de suelos. ~~~ No obstante, la mayor parte del área es apta solo para ganadería extensiva, explotación forestal y bosque de protección.
Nitre Ngäbe nunanga Costa Rica ye tätre nune kä keta rigue te, ye Abrojo Montezuma, Coto Brus, Conte Burica, Alto Laguna btä Altos de San Antonio ne bitinkä sribebare kä 2001, konime Paso Canoa ken.	Desde la altura se despliegan pequeñas la Vaca, Conte, Tigrito, El Higo y Claro. ~~~ Estas se integran a las subcuencas del río Conte y del río Colorado, de la cuenca del Coto Colorado que desemboca en el Golfo Dulce.
Coto Brus kä tibien ye bä ngätäre, ba umane ñu nagain tibien krübäte, tä kä batete tibien krübäte, nura nemen kuin ketäre ketaré.	Otras cuencas como las de las quebradas Coco y Caña Blanca desaguan directamente en el mar. ~~~ Este territorio indígena tiene límites con el mar.
Kä kuin nibi ngübüara, aune nura nogatä käre kä kwatire kwatire, ne kä ngubuatä btä Nibibe ngubuara kuin, btä kä togwäre kuin kri nögara, ju migara.	Extension Territorial:Aproximadamente el territorio Ngäbe es de 23 647 Hectáreas. ~~~ Los Ngäbe de Costa Rica es un pueblo originario.
	Los actuales son descendientes de los primeros pobladores el siglo pasado producto de la primera oleada que surge del norte de Bocas del Toro empujado por la destrucción de la selva, las presiones de los no indígenas.
	Sin embargo, esta región de Costa Rica forma una unidad geográfica continua con Chiriquí territorio panameño; por lo que también se considera que su presencia en Costa Rica responde a que los Ngäbe, siguen recorriendo los caminos utilizados por ellos desde la época precolombina, siendo pueblos que a menudo regresan a Panamá.
So setiembre 22 kä 1962 kugwe MamaTatä nugani tibien aune nitre nunanga Abrojo Montezuma, Conte Burica btä Altos de San Antonio, janintre Krüningäte .	A partir del 22 de setiembre de 1962 surge la religión MamaTata; por cuestiones religiosa; los Ngäbe de Abrojo, Conte, alto San Antonio se movilizaron hacia Panamá, al regresar se encuentran ya sus tierras ocupadas por campesinos no indígenas.
Ne mentäri Panamá, gätäni üno aune kitatre jagwaretä naune chuitregwe kä kwetre deani jökrä jae täbitre, ñan nibi nuanine kräguetre.	Para ese momento los Ngäbe estaban desprotegidos por las leyes de Costa Rica entre ellas de trámites registrales.
Ne ñan ñöbtä aune ye näire ley ñakä neguete ngäbegri, cédula ñakä kwetre btä.	
3.	3.
	Clima: El actual territorio de los Ngäbe, presenta un clima característico de la Vertiente del Pacífico en el país.
Kan gire bta: Käe ketebu ye kä ñure abrilibtä ne nientä diciembrebtä meden nguane San Juan käe tore tä bare juniobtä , aune kä tore ye abugon tä naganga diciembrebtä nemontä abrilibtä : C Bozzoli 1986: 6263 Ñü tä nägäin 3.	En cuanto a las lluvias, cuenta con dos estaciones: la época lluviosa (invierno) que va de abril a diciembre (con el veranillo de San Juan que ocurre en junio), y la época seca (verano) que va de diciembre a abril. ~~~ (Bozzoli 1986: 6263). ~~~ La precipitación promedio anual es de 3. ~~~ 500 a 4.
500 a 4000 mm näre tibien aune kä tä neme 25 a 27 ngire.	000 mm y el promedio anual de temperatura es de 2527 grados centígrados.
4.	4.
Ka ñureKä niera kätogwäre, kä nure aune ba ngireNgäbe käe Guaymí de Coto Brus ye kätogwä ere, aune Kä ñure, aune kä darebe tibien krübäte5.	Regiones naturalesEl ecosistema predominante en el territorio Ngäbe de Costa Rica es el bosque, muy húmedo tropical.
Blita kugwe jeñebtä Kugwe miganinte nie ni Ngäbe nei ye jodron kiaga ni bare ye migadre utuäte jae, kugwe batä ye migare täte, Nitre umbregwe dirini kena degä erere kugwei miganinte nie.	En el territorio Indígena Guaymí de Coto Brus, sus zonas de vida se clasifican como Bosque Húmedo Tropical.
Ye jeguibtä btä ñö ye ngübüadre btä sribi date ye.	Se encuentran también sectores de Bosque muy Húmedo.
	5. ~~~ Geografía CulturalLa herencia cultural de los Ngäbe viene del pasado, sin embargo, también está en el presente, en las formas de relacionarse con la madre naturaleza, con las costumbres tradicionales como las fiestas, las danzas, los cantos, las técnicas del manejo del agua y el arte.
	Ese pasado les permite reconstruir y profundizar la confianza en su identidad cultural, se integran, se reconocen y celebran que pertenecen a la misma tierra.
Kugwe jeñe gare nie yebti ja migatä utuate. ~~~ Ni Ngäbe ne kugwe kratibe ngäbere.	Orgullosos de su origen, por ello luchan por el reconocimiento de sus aportes a la cultura en general6.
Abugon konti ja di migatä kugwe nigwe yebtä ye konti ni rabai utuate aune ni miga rabai utuäte kä jökrä biti6.	Características de la poblaciónLos primeros pobladores tenían el sistema de parentesco complejo.
Kugwe ni ngäberegwe ja käteNitre kena toni nementä jabe, ye ngwairetä akwa ba mente nibi nementä jabe, Ye ruäre rüngri btä ruäre meyegri Ne kugwe nuain toni kira kore, ye ni roaitregwe urute krörö (rüngrimeyegri)7.	Las relaciones matrimoniales se establecían (preferentemente) entre primos cruzados de segundo grado bilaterales (sean de la madre o el padre).
Ja ugagro kugwei Ngäbetä ja migue ji ngwanga kone ye ruäre jakitägatä btä ruäre kugwe ye ngwantä ritä nitre käbre yei.	Así, la filiación, las relaciones y términos de parentesco son establecidos en referencia a los abuelos (paternos y maternos).
Ni meden raba sribire kuin abugon migatä mada gobrane.	Actualmente, los Ngäbe continúan siendo agricultores y artesanos para la subsistencia y otros hombres y mujeres, se dedican jornaleando en las fincas de palma aceitera.
	7. ~~~ Formas de Organización socialLas estructuras políticas Ngäbe, en términos muy generales, es el producto de un consenso local que no se expresa a través de una votación, sino por medio de procesos de consulta y legitimación comunal que determinan un amplio grado de aceptación del liderazgo. ~~~ 1.
	Sector agropecuario: Tradicionalmente se han dedicado al cultivo de cacao, frijoles, arroz, maíz, palmito, plátano, tubérculos entre otros y lo combinan con la cría de cerdos, aves, con actividades de caza y pesca aunque la mayor cantidad de la producción es para el autoconsumo.
Ji ngwanga kone 8.	Narrado por Valentín Gonzalez.
Sribi1.	2013. ~~~ 2.
Kwatigare ye kwä nogatä, muma nogatä, aro i, mitra nogatä, bla o, drün btä mada aune mütü ngübüatä kwi, erato , nitre ruäre tätre montiare jatetä aune ñöte erato, kwetä dre jai jerekäbe2.	Producción de artesanías.
Kubugare: Nitre ruäre tä sribi date ye nuaine rürübaindre ye kra sribetä, ngüñüngwä nogwätä sribetä , sommre btä dangutu, aune jodron gwa kitara, montiara sribetä , ruäre rurubointä , ruäre ñakä.	Actualmente realizan la industria artesanal para el comercio como: bolsos, chaquiras, cortezas de mastate pintadas, sombreros, vestidos tradicionales e instrumentos para pesca y caza, con dificultades de comercialización.
3.	3.
Komägare: Nitre merirebrare tätre niguen gananbti, käbe oto, sribire kuglubtä , sribi ne abugon utua biantä brai ietre.	Venta de la fuerza de trabajo de mujeres y hombres en el comercio informal principalmente como mano de obra no calificada asalariada.
Ni ngäbere käite ley indígena 1977 art. c kätä ñiere, ni ngäbere aibe kägwe kri ye migadre jure jabtiAune kä tibien jire ye abugon gobran tä bogone ley indígena 1977 artículo 8 kätä niere.	En los Territorios sólo los indígenas pueden explotar los recursos maderables (Ley indígena 1977, art. 6).
Kugwe nigwe jeñe ye tä dre kwekebe nigwe ja di migare batä aune batä kugwe gwa kitä bti aune montiabti Ley 1977, art 23, btä Convenio 169 OIT. kätä niere.	El subsuelo es patrimonio estatal exclusivo (Ley indígena 1977, art. 8) y se deben reconocer como factores importantes de mantenimiento de la cultura las actividades tradicionales en cuanto a caza y pesca (Ley indígena 1977, art. 23, Convenio 169 OIT).
9.	9.
Utuäte kri Jodron keta kabre kä kriteJodron ketäkäbre, ñan tone tä ni käite Ye krire, kograre, kiangatäre btä jadron nire.	Biodiversidad La biodiversidad o diversidad biológica es la variedad de la vida.
Bätä jodron nüne döbrote, aune jodron kiaga ñakä tuin ja ogwä jene nigwe nebti ye käbre ñan tone erato.	Este reciente concepto incluye varios niveles de la organización biológica.
Ye ketäkäbre, betega ba jeneme döbote kuin. ~~~ Kä bañö konti ere jodron kä krite ngetre erato.	Incluye la diversidad de las especies como plantas, animales, hongos y microorganismos que viven en un espacio determinado.
Ni Ngäbe negrä jodron ye utuäte kri, ne ñan ñobtä , jodron nebti ni tä nire diguega.	A su variabilidad genética, a los ecosistemas de los cuales forman parte estas especies y a los paisajes o regiones, en donde se ubican los ecosistemas.
Ñödre nitä kite bren aune jötrö ja krägai migatä . ~~~ Kograbti, kri bulubti btä ngatribti.	También incluye los procesos ecológicos y evolutivos que se dan a nivel de genes, especies, ecosistemas y paisajes.
Jodron konime ni kise kontiKugwe biodiversidad kädrie, aune ye jodron ni käite, jadron ni bare ye meden kädrieta jögrä te jodron ye, jörän, mungwä btä jodron kia jire ñan tone erato.	Para los Ngäbe la conservación de la biodiversidad es asegurar su propia sobrevivencia.
	Todas las enfermedades propias de la selva son curadas mediante el uso de tratamientos hechos a partir de elementos de la naturaleza, en su mayoría, plantasCuando se habla de la biodiversidad, nos imaginamos todos aquellos seres vivientes que viven dentro del bosque, como los zancudos, moscas y pequeñísimos insectos que se refugian en la cáscara de los árboles, en las quebradas, o en el mar; hasta imaginar los animales más grandes, incluyendo peces, aves y la vegetaciones que nos rodea.
Ñödre tä niguen ngitie kri kwatä te, nüne note, nüne mrente, jodron krigri krübarebe ye gwa, nugwä, kätogwä jodron jökrä ni bäre ye. ~~~ Jodron keta kabre ni bäre ye utuäte kriNi nire ne kägwe, jodron batäga sribenina, nura jene jene dininanga kwe ye: i , mumá aro be, ngiba, mada, nibimütü btä mada.	La sociedad que existe en el mundo, hace una cadena que mantiene el desarrollo y una fuente económica social para todos aquellos que viven en la tierra, quienes mantienen la sociedad inimaginable en todo parte del mundo es una sostenibilidad del medio ambiente.
10. ~~~ Kiangatä kwetä dreSoga: Kiangatä ne nugue nire kä umane konti, ye ñö ngrabare btä kä konti, ye ñö ngrabare btä kä kugwonente konti aro nogatä .	La importancia de la biodiversidad: Los seres humanos han aprovechado la variabilidad genética y “domesticado” por medio de la selección artificial a varias especies; al hacerlo se ha creado: maíz, frijoles, calabazas, chiles entre otros.
Kiangatä ne kädegatä “soga” ye mutu yera jire otätä yebti riatä mada ye ngwantä nogrega biti ñöi kitä gatä , bati bobu ne ñan ñöbtä aune kiangatä ne kwaga batä nuantä kore tä nemen ruone aune jlimon kwagatä biti aune kwatätä arobe, baranbe btä sabe.	Tradicionalmente los Ngäbe han practicado un sistema de agricultura itinerante de rosa y quema, que precisaba de grandes territorios para poder intercalar áreas de cultivo, con otras áreas.
Kena ni ruaitre toni kwete abugon ni känime kä ngwane.	Se hacen cultivos rotativos no se practica el monocultivo en un solo lugar.
Kiangatä ne nirien ñakä mante koin diga kra ba täin, aune niguen jubente kögrare, aune bulu kra kia ngogwä käbre batä .	Dentro de su territorio también cazaban, pescaban, utilizaban los frutos y fibras que recolectaban de la montaña.
Käglo: Kiangatä kögräre erato abugon mutu kwatä nitregwe bäsi ba chayote kä krwere, ye mutu darebe darebe erere otätä , yeriatä biti ilimon kwagatä biti.	La deforestación de sus territorios ha mermado esta actividad, talan los árboles y muy poca se encuentra la materia prima, los ríos no tienen peces ni camarones.
	En otros territorios hay montañas y bosques que los Ngäbe no pueden tocar ya que están en el régimen forestal de Fonafifo; caso de Conteburica y Coto BrusPlantas comestibles/consumoSoga: Es una planta que nace en las partes arenosas de las quebradas y los ríos principalmente.
Biti kwatä tä baranbe, arobe, sabe.	Crece un metro y medio aproximadamente de alto.
Ne mrö ni ngäberegwe. ~~~ Mun käsentä: Meguera kä togwä nomene ere aune mnü yo krübäte.	La flor es como en cono y en forma de un chilillo con muchas frutitas hasta el extremo.
Ngäbetre nomene den ere mrü kwati mrü kubu, ye kuin kragare, mugatä abugon sribe nomene ja trare dego aune drü sribe nomene erato bitiMun ye neani nanga jögrä kä togwä ñägare kri notätä jogra btä , aune te mada mun krigri ye tä kämigue erato.	Se prepara de la siguiente manera se cosechan las hojas más tiernas, luego se cocina, cuando ya está cocida se le vota el agua ya que es amarga, luego se le agrega limón y queda para consumir con un bollo de maíz ya seco o con banano y arroz.
Reina de la noche: Kräga ne kuin nitä joraine kidete, ngoto gwabtä , ni mate tibien, ni tä neme nuen ngwane mutu otä dre biti riadre, aune ja krubarie tigarete biti bren nie ye konti biti mada ñöi krube kitädre ni nemen bren ye kontiJodron batä ga nibira, sribetä ñö tä jökrä kwe.	Es un plato tradicional desde los antepasados y aún actualmente lo consumen. ~~~ Kaglu: Es una planta que también consumen en la dieta alimenticia, es parecida a la mata de chayote, aunque sus hojas son más oscuras.
Ye batä kugwe kira gare kädare nie tä jökrä keteitibe siba kugwe biodiversidad nebtä Ni ngäbere tä konime sribi nuaine, kä mete aune kugwe, nure nura nogara, Nura nogawe ñakä Kä keteitibe konti, ye nura jene jene nogatä jatä ri.	Se utilizan los cogollos tiernos y se agrega limón, se le bota el agua y queda listo para servir con cualquier tipo de comida como bananos, bollos o arroz.
Ye ja käite erato montianomo, aune gwa kitä nomo, Metäre gwa ñakä ñöte, kri ngwa ñakä kwatädre jodron kiaga käsentä yei kä togwä netä tetä btä jodron kite nega jogra jodron sribi däte nuaina ye erato jögrä.	En la montaña abundaba la miel silvestre o miel del monte, por los que los Ngäbe acostumbraban a sacar dichas mieles para medicina y también utilizarla como cera para alumbrarse en las noches.
Ñödre Conte Burica ni Ngäbe ñakä tä kise migaga kätogwäbtä , ne ñan ñobtä aune tä Institución FonaFiFo ye kisete, ne tära nagainga ni ngäbere mada ngatäite kore.	Actualmente se ha ido extinguiendo a causa de la deforestación y también las abejas africanas han acabado con las abejas silvestres11.
11. ~~~ Kä bä ño kongrabareJodron krigri nomene käsentä meguerabeYe käe kore krwa, molo, jurin, mütü kri, tiro, ne metäre ñakä niena diga, aune uru btä kiala tä , nugwa nunanga käsenta ruäre tä ngäbetre käite ruäre.	Tipo de FaunaEl tipo de animales salvajes grandes, que existían en la montaña desde hace varias décadas era el tigre, el león, la danta, monos, chancho de monte, zaíno que actualmente se han ido extinguiendo.
Ñödre Casona, San Antonio, Abrojo Montezuma tä ruäreAune Osa Alto Lagnüa abra tä krübäte bätä Conte eratoJodron nire ngubuatä gwi, ye kwatä tä jerekäbe nodre kwi, mütü btä nibi.	Solo van quedando pavas, tucanes, aves silvestres, en algunos territorios como La Casona, San Antonio, Abrojo de Montezuma pero en Osa todavía se encuentran en los bosques dichos animales como en Alto Laguna y Alto Conte.
	Los animales domésticos generalmente la carne es para consumo interno, como aves de corral, cerdos, vacas.
12.	12.
Tipos de MineralesChui nura mate ni käite, aune ni nomene jChui nura mate ni käite, aune ni nomene jodron bogone kri ngwiane, abugon oro, abugon chuitregwe goini jökrä nigon ye abugon jodron sribera jae migare ja dögwäbti, mägäre ja ngärä käre.	Tipos de MineralesLos indígenas Ngäbe en la época de la conquista, tenían una riqueza tanto cultural como económica, por el oro, no solo las espléndidas alas, patenas y coronas que los españoles codiciaban, sino también, la ubicación de las fuentes de la materia prima y las rutas de comercio internas y externas.
