[NEW_DOCUMENT: DOCid=0, lang=nah, DOCNAME=CENTE COUATL HUAN TLACATL ].	[NEW_DOCUMENT: DOCid=0, lang=spa, DOCNAME= LA CULEBRA Y EL HOMBRE ].
26Ika inon maseual ixtlakalolme noyoujke kiantoke uan kimokauili’toke tlamantlime tlen in yaxka in ue’ka chanime aki’ke mochanti’toke Europa uan Africa, uan ojko kinpixtoke yankuikten yolixtlamachtilme ipan tlen kachi achto altepeme omochiujke ipan tonantli.	Ahora, ¿qué haré?
Ipa ini’ke tonantlime kimokauiliyaya tlane’neuililme, ixkopinkayoltlanextilme uan tlamantlime tlen kiantoke ipan tlayekan tla’tol tlanauatilolme: inon keni mochiua ipan iluitl mito’tilistli kani monextiya kenin oki miktike toteotsin Jesus in teone’neuilis yaxkayo Coras aki’ke mochanti’toke ipan ueyi altpetl itoka Nayarit uan noyoujke ipan ueyi altepetl itoka Xalisko kani ma’tlaktli ikoneua kikuitoke tlapacho xayaktle tlen kinextiya tlachi’chiual pa’tli nextilolamatl iyaxkayo tepostlamauisol tlanauatiloni.	
In maseual ixtlakalolme ki’toua mach ixpantilpanolisme a’mo momaka’kaua iuan nechikol altepechanime.	Iré a buscar mi comida. ~~~ ¿Acaso me duelen los pies para que no pueda yo ir?
Inon ki’tosneki mach itla’tlen pano ipan se altepetl kuali noyoujke kimo’siuis okse noso oksekinten altepeme: se nechikol altepetekiyotl noyoujke kuali kixnextis se tlamo’siuili ipan ue’kapa neluikak; tla aki kineki kimiktis se koujtla yolkatl uan a’mo kitla’tlanili’tok iteko makikauili kuali kikualankaitas uan san tlama kikokolisyomakas in altepechanime; tla aki kineki kionis se ameltsi uan a’mo itla’tlen kitemakas kana se tla’paloli aki’ke toteotsitsi ye’uan kuali kualaniske uan ojko kichiuaske mauaki noso mapo’poliui in ameli.	
In maseual altepeme kixmati in xolalpa, inchikauak tekipanol tlen kuali kichiuaske uan tle a’mo kuali kichiuaske in kachi yekyotl uan ye’uan noyoujke kimati kenik a’mo mapo’poliui in tekipanolisuan, san ika keni yotikitake ye’uan a’mo momaka’kaua ipan tlen in xolalpa uan in yek tlanextikayo, noyoujke inuan in yoltekipanolis uan a’mo moitstoke keni san tlama uan san moljui tlachiualis tlen kemaniya mochiuas, mokuitos noso mokaujtos.	
Satepa inin a’mo maka’kaujtle ipampa nechikolchanime uan tekipanolisme, ki’toua yolnemilis tlamachtiyanime uan tlakatlamachtiyanime, mach in maseulaten moiskalti’toke ika in yankuik tlaixmachtil chiualisme tlen kuali kiyolchikaujtok uan kin paleui’tok ipan tlalyolnextiloni keni ueyi koujtla kani kachi kiaui, ipan koujtla tepeme, kani xaltlaluajka uan itentla amanali , uan oksekinten.	
Ika inin machiloni in maseual ixtlakalolme teixmachtiya ika tlamantlime tlen a’mo san yek noyoujke kineki kachi kuali mamoyekixmachtikan.	Salió a buscar su alimento y anduvo, anduvo, y llegó a un cañaveral de maíz; allí encontróse con un zorrillo y le preguntó el coyotito: —¡Ea!
In maseual xantil tlapa’tiyanime kixmati miyakten xiujten uan yolkame tlen ika kachi kuali tlapa’tiya uan noyoujke tlen ika kachi kuali pa’tlachi’chiua.	¿A dónde vas? ~~~ Yo vengo en busca de mi comida. ~~~ ¿Y tú a dónde vas? —Yo también vengo en busca de mi comida.
I’kuak kixmati itla’tlen xiujpa’tli ye’uan sanema kikui uan kema ki tlaliliya aki chanika kipanita se ome yeyi tonali uan ojko kuali kita tlaneli kuali pa’tli, noyoujke ipa ixtlakalol tlane’neuilisme, tlen ika momati mach kuali in yaxkayo tlen totonke tlamantlime uan ojko kuali mokuiske ikamopa’tiske in tlen tlamantli itstik teuika ipan kokolistli.	
Kuali moyekitstoke in maseual tlane’neuilisme ipan tlen iyaxkayo xiujme uan yolkame, ika inon ue’ueyikaltlamachtiloni uan noyoujke ipan ue’ueyi kalten kani mochi’chiua in pa’tlime uan ixkuikuilol pa’tlime, ye’uan ki tlaxtlaua aki’ke maseual xiujpa’time uan ojko kuali makin nextilikan in tlen xiuitl kixmati uan tlen kuali ika tlapa’tiske.	
San ika inin tlane’enuilis chiualis chanikame aki’ke a’mo kiyekita tleka ye’uan kine’neuiliya mach inon a’mo kuali chiualistle uan ojko kitokayoti’toke ini’ke tlachi’chiualme; keni “biopiratería” kate sekinten chanime aki’ke kitstoke inmaseual tlamachtilis kiuikatoke in ue’ueyi kalme aki’ke pa’tlachi’chiualten uan ye’uan kitlantoke miyak tomin ika inin tekitl uan a’mo kimakatoke in maseualme noyoujke se kentsin tlaxtlauili.	
Kate oksekinten maseual ixtlane’neuilis tlamachtilme aki’ke kuali a’mo moyekneltokaske, noso a’mo kuali moyek kuiske tlamantlime in koyoitaka tinochten tikmati in koyome a’mo kineltoka in yolyo naualme noso itla’tlen tlane’neuilis chiualis tlen kikui sekinten maseual chanime, ompa kani noyoujke kiye’yekoua kixmo’moujtiske in tesiuitl uan ojko a’mo kikauaske matlalpauetsi.	
Kachi kuali matik ne’neuilika matikin kauaka makichiuaka inon in maseual tlane’neuilis tekitl noyoujke matik yekitaka kenik in ye’uan motekipanoua ipan maseual ixtlakalolme kani noyoujke a’mo momaka’kaua ipan tlaltikpak panolistli aki kin machikaujtok in altepeme.	
27Onka se tlane’neuilistli kani moyekita uan moyek ixmati in tlaxelolmaka’kaualoni tlen inuan maseual tlamachtile uan koyotlamachtile inon kanin yetok in yekyotl uan kokolistli.	Ahora ya nos encontramos aquí; apostaremos una carrera, si quieres correremos.
Maseualme kine’neuiliya mach aki mokokoua a’mo moyek itstok uan a’mo moyek tlali’tok inepanko in tlen totonke uan tlen itstik ika inon moneki mach mamototonili itlakayo, uan noyoujki mamoyektlali’toka uan mamoyekitakan kenik mamoyeknauatikan in tlen miyakten seualme ye’toke ipan sese altepechani iuan chikauak seualme tlen yetoke kaltenko uan mosasalnauatiya.	
Ika ino’ke kokolisme keni “moujtililistli” inon ualmonextiya keman se seualoni kikaujteua itlakayo se tlakatsintle, inon a’mo i’kuak momoujtiya.	Colócate en ese surco y juntos saldremos corriendo, y cuando yo grite tres veces, juntos echaremos a correr. —Espera.
Uan ojko inin tlakatsintle kineki mopa’tis iuan se koyotlapa’tiyani a’mo kuali kipa’tis, uan tla a’mo omopa’ti kachi ueyitis ikokolisyo noso kuali mikis.	Voy a decirte una cosa. ~~~ ¿Vamos a apostar la carrera de balde?
Ika inon maseual tlapa’tiyanime kachi moyek ita uan moyek tlaso’tla ipan ka’kala’tli, tleka ye’uan teyolchikaua ipan iyixtlakayo mokokouani uan kuali kia’siske itla’tlen pa’tli tlen ika kuali tlapa’uiske kikuitoske xiujpa’yome uan noyoujke teotetlatlaujtile tlaneltokali panolistli uan tlaneltoka uan tlane’neuili ixtemolistli tlen kin pa’paleuiya ika kitemoske kanin yetok in seualyo in chanikame, uan noyoujke ki’taske kenik kuali kiualkuepaske ipa in tlakayo uan ojko mopa’tiske.	¡Ea!
Inon ki’tosneki mach maseulame a’mo mayakan mopa’tikan iuan koyotlpa’tiyanime noso a’mo mayakan ipan kaltlapa’tilme uan ojko a’mo makikuikan in koyopa’tili uan tlen patli a’mo tekaua manikokolo uan oksekinten tlen yankuik pa’tlime, tleka ino’ke kachi patiyo uan a’mo a’sitoke in majko kampa ye’uan mochanti’toke.	
Ojko tikitaske keni maseualtlapa’tiyanome ye’uan kachi kuali kixmati intlakayo uan noyoujke kimati keman in tlakayo yejka noso mokokoua uan kipa’uiske tla itla’tlen kokolistle kipiya.	¿Qué no voy a ganar nada? ~~~ ¿Y si me lastimo, será de balde?
Keni ika ixtlakayoluan uan itlane’neuilis inmaseual altepeme kiyolti’toke iyaxkayo tlane’neuilis keni kuali ompa mochiujtoske in tlakame uan siuame keni iuan okseki’ke iuan iyixtlalkayouan.	Si quieres, apostemos lo que voy a buscar; si acaso pierdo, te daré lo que debía ser mi comida, y si tú pierdes, me darás lo que ibas a comer. —Como tú quieras; lo que digas, eso haré. —Está bien.
Iknochi inin tlayekanyotl a’mo nochten kiyek itaske uan a’mo kuali kitaske, uan noyoujke a’mo kitaske itiachkauj tlayekanyouj, maske kitlaliliya ipan tlen sesekni kayotl.	¡Uno, dos, tres!, El coyote echó a correr, a correr, y el zorrillo nada más se arrastró por allí cerca y se metió a su agujero.
Ojko keni nemi, se altepechani kikui in chankauan teotekiyotl uan motlaliya inauak in teotl, noso teotlaitaloni ipan altepetl ika inon in tlakatl a’mo tlen kichiuas iuan isiuauj ipan achto ome yeyi tonali maske ipan oksia’ka a’mo tlen kichiuas.	El coyote no sabía que otro zorrillo se encontraba al principio de la sementera y que de lejos lo estaba oyendo; así que cuando partió el coyote, ya estaba allí sentado el otro zorrillo, y le dijo el coyote: ¡Vamos otra vez!
Noyoujke, kuali moonis tlayile ipan seki iluime, tleka in tlayile kitotoniya in tlakayotl uan ika inon maske inauak mailoua in teotl a’mo tlen tepanolis; ipan okseyotl, ojko i’kuak tlauel totoniya ika in kualalyotl a’mo kuali mochiuas ipan in chanime noso nochi altepetl.	
In tlen nemilistli noyoujke nononkua moitas ipan in tlakame uan siuame.	¿Cómo es que has ganado? ~~~ ¿Puedes correr mejor que yo?
Ipan in tlen itoka Tsotsiles in Chiaujpa kayome, keni inon moitas, ye’uan mokuailpia’ke keman kisa’ke ipan tonaltsintle uan keni inon itstike in totonilotl kuali kin kokos, uan noyoujke a’uel kuali motlalpantlaliske, tleka in tlali kuali kin kitskis se chikauak itstik.	¡Veamos otra vez! 77Entonces de nuevo echaron a correr y otra vez ya estaba allí esperándolo el zorrillo, que le dijo: —Ya viste cómo te pasé. ~~~ Ahora dame lo que dijiste. —¡Ea!
Okse tlen moitas inauak inextikayo tlakalolme uan in mauesyome ipan ialtepeme, ye’ua tlen moyekoltiske itla’tlen tekipanolis uan noyoujke ipan altepetl, kimauestiliske in teotlme.	Si tanto quieres que te regale lo que dije, espera a que yo vaya a buscarlo, y cuando volvamos a encontrarnos aquí, te lo daré. —¡No!
In miyak maseual altepeme kine’neuiliya aki san isel motekipanoua uan a’mo kinyekoltiya in oksekinten, inon ki’tosneki iuan tekiti in moxikouani, ika inon a’mo kuali kitaske ipan inaltepe.	¡Si quedamos en que aquí me lo darías! —Pero si ahora no tengo nada. —Si quedamos en que aquí me lo darías; ¿acaso eres una criatura?
Inin peujtok tlane’neuilistli kuali moitas ipan se chinanteka kayotl, tlen uits ipan se tlen ue’ka chanikayotl, tlen teno’notsa se yolkasayole opanok nochi ipan makuili metstli okikui’kuilitiya in teotl ika inon okinek ki kouilis in tlaoli in askatl, aki otekiujtiya ipa nochi inon kauitl uan okipiyaya miyak tlaoli.	
Inon a’mo okinek kipa’paleuis, okilui mach tlatsiujke mach inon otekitiyani keni ye’ua.	Tú ya eres muy grande, tienes juicio ¡y me haces esto! ~~~ ¡Eso déjalo para las mujeres!
Ika inon, in yolkasayoli oya iuan teotl uan okilui in askatl tlauel tsotsokatl uan inon okilui mach ye’ua kimakas tlen kikuas.	¡No es propio de ti, que eres un hombre! —¡Ea! ~~~ ¿Acaso no me oyes, coyote? —Ya te dije que me esperes aquí. —Entonces ve a traerlo.
I’kuak inon, axan in yolkasayoli ye ika kipiya in tenchochopiueyak tlen ika kichichina iyayo in kouitl, uan ye ika ayakmo moyolkokoua tlen itlakualis.	Entretanto yo buscaré por aquí algunos gusanitos que comer. ~~~ Si has de traerme algo, corre por ello.
28Inin tlano’notsali chinanteka ayakmo kiyekita in tlen achto itlane’neuilis aki itoka Samaniego, keni askatl omoixmatiyaya tlauel tekitki, uan iyolka sayole a’mo neli kuali tlakatl tleka san tlauel okikuikaya uan ika inon in maseual tlachiualis in yolka sayoli okichiuj in tlen yek kuali iuan omopacho in teotl ika ikui’kuikaujyo uan in askatl a’mo kuali omochiuj tleka a’mo okinek kitemakas in tlakiloltekiuj.	
Ika nochi, in maseual tlane’neuilisyotl kitemoua keni mamoyek italo tlen se uan okse, ialtepeuj uan ika iyixtlakalo.	Echó a correr el coyote con la cola parada y se fue riendo.
Inin yekitaloni mopatla uan kuali mopiyas kema moyekitstas uan moyek temo’tas keni kuali ilouas, noyoujke in tlen yek italistle keni peuas totlane’neuilis iuan inmaseual altepenemilistli.	
Aki’ke kuali kia’siske, neli yolpaktos ipan inemilyo, uan ojko kiyekitaske ialtepeuj, uan kema mikis noyoujke paktas.	Ya no volvió nunca y hoy todavía lo está esperando el zorrillito. ~~~ [END OF DOCUMENT].
Ika satepa noyoujke kuali yas iuan ikoluan aki’ke kipanitstoke uan kitsto’ke maske kampa ompa miktla ye’toke.	[NEW_DOCUMENT: DOCid=9, lang=spa, DOCNAME= EL PERRO VIEJO Y EL COYOTE ]. ~~~ EL PERRO VIEJO Y EL COYOTE .
MASEuAL TEOTLANELTO kALISMEIn teoneltokalisme tlen kipiya’ke in maseual altepeme a’uel kikauaske inixtlakaloluan, tleka, inon ki’tosneki tlen yek kuali ichiualis in tlane’neuilis uan tlen ino’ke kipiya’ke.	
In tlen mauesyotl, in tlen makake in teotlme, in maseualten kitemoske uan kipiyaske tlen kipiya iuan mosalos in tlane’neuilis tlen ika kuali kiyolitiske in tlatokiloli, yolkame mayolikan, uan altepetl ijko mamoiskalti, uan teotlme mayolpakikan uan a’mo tlen kuali mochiualis ipa inon nemilistli.	
Keni nochi in nemilistli uan masualne’neuilistli, in teotlane’neuilistli ye inon ichiualis tlen tekiyo in xantil tlano’notsas in altepeme.	[Éste era] un perro viejo [al cual] ya no quería su dueño; ya no [se] le daba [de comer] a aquel perro [que] ya apestaba [y] era viejo.
Ika inon kipiya miyak itlamanyoua tlen uits ipan xantil xiuitl tlen yopanok, seki teotlme, noyoujke tlane’neuilisme, tlaneltokilistle uan in teotlatla’tlaujtilme.	[El perro] estaba triste [porque] ya no le daban de comer.
Noyoujke kipiya miyak kaxtilanteotlane’neuilistli, ye opanok ipampa in tlen okiualika’ke akike kaxtilantla’tlanime inon opeuj ipan kaxtoli uan se xantil xiuitl uan inon okiseli’ke imaseualten.	
Inon omoitake aki’ke teotlakaitalonime tlen kipiya’ke ipa nochten in maseual altepeme, uan noyoujke kuali moitas in ixnextil aki itoka “Cristo” uan “Virgen María” uan noyoujke in “Cruz”, tlen inon inchikaujtlane’neuilis, tlen yi ue’kauj tlane’neuilistli uan ipan in ome teko’tli tlen kuali moitas, tlen ompa kate ipan amatl tlapoualtonali.	
Inon tlamantli tlen kaxtilankayome kuali kine’neuili’toke inmaseualten keni ika kitake in ixtlakaloluan.	Se encontró con el Coyote, [que] le dice: —¿Por qué estás triste? —No tengo que comer porque ya estoy viejo.
Ika inon kuali moi’tos in”Virgen” kuali iuan moitas in metstli uan ika inon mone’neuilis keni ye in siuatl, ye ika inon moitaske keni inamikayo.	Ahora ando por aquí [vagando]; mi amo ya no me quiere. ~~~ Le dijo el coyote: —Dame un pavo.
Noyoujke, in Mayas tlen inchan “Quintana Roo”, in “Cruz” mokueptok keni in teko ipan se, iuan moitas in xantil koujme ixtlakalolme tlen yi ue’kauj yopanok.	Esta noche iré a buscarlo y tú saldrás a ladrarme y te lo abandonaré; y entonces verás que sí te darán de comer.
Keni okseki tikitaske ompa uits okseki tlamantlime tlen yiuekauj yopanoke in kaxtilantlatouanime nemijke uan mono’notsa, maske neka niya kikuiki nononkua in altepenemilis ika inon in teomaseual tlane’neulisme kuali moitas keni teotlane’neuilisme tlen uits ik ompik noso tlen kaktok nika noso yi inon ix ome.	
Ipan miyak altepeme inon teotlane’neuilisme kixmati keni san semi “tlane’neuilistli”, tleka inon mo’mostle kichiua.	Y llegó la noche y [el coyote] fue a sacar un pavo y el perro viejo salió a ladrarle: —¡Gua, gua, gua!
Keni kuali moitaske ipan tekpantlapoualistli kachi miyakten in maseual chanime moixmati’ke tleka kineltokake in kaxtilanteotlane’neuilistli, uan noyoujke kate semi chi’to aki a’mo ojko kine’neuiliya, uan noyoujke in altepeme aki okin kaxtilantlane’neuilis chiujke kachi sanema, aki’ke tlen itoka Uicholes uan Tarahumaras.	
Uan noyoujke miyakten aki a’mo tlateotlaneltokanime, aki tikin tokayotiske ompa kachi tlatsintla.	[El perro] le quitó el pavo al coyote y [entonces] salió su amo: —¡Ay, mi perro viejo!
Tlamachililistli tlen iyaxkayo ojko okikitske inonkua’yo ipa okseki altepeme.	¡Ya le quitó el pavo al coyote! ~~~ ¡Ay, mi perro viejo!
Inon kuali moitas in tlen yekiyaxkayo ipan in ue’ueyi iluime tlen mochiua ipan altepeme ipan in tonal inteoitaliskayotl, uan in chi’chiualoyan kineki miyak chikaujyotl uan noyoujke miyak tomin tlen aki’ke kichiuaske in mauesyotekitl uan okseki chanime aki’ke kipiyaske tekiyoteotlane’neuilistli.	
Ipa Inin iluime yaue miyakten altepechanime aki’ke ya’toke ueue’ka, uan ojko makin altepeikniuan itakan.	¡Ahora que le den de comer una tortilla gruesa! ~~~ ¡Ay, mi perro viejo! 87 [END OF DOCUMENT].
Inin iluime mochiua’ke ipan in teopa uan inepantla altepe, inon ki’tosneki, ipa in yolo in altepetl, kampa ompaka inteotlakatl miyakpa, noyoujke, inauak mopaleuiya maske matlami insel tomintekipanolisyo.	
Ika inon, miyakten tlakamomachtiyanime ki’toua’ke mach in maseual altepeme (uan noyoujke imil altepeme tlen yi kaxtilantla’toua) no kichiua’ke in tlen “achto tlane’neuilistli” tlen maske kachi kuali matlami in tomin uan mamochiua in iluitl uan ojko inteotlakatl kiuikake kipaxaloltiya’ke kanik ite’tentla in altepetl.	
In tlen ueyi tla’tlamakalistli, in tlayili, inxochime, xochitlakemitl uan in tlatlatil tlakuekueponilistli kampa mochiua ipan iluime ye ika inon in altepechanime kiyek itake tleka ika inon moixmati’ke uan noyoujke inauak mopaleuiya in teotlakatl, uan noyoujke tlatemakas in altepechani ipa inemilis altepeuj, maske ayakmo mamopiya “miyak tomin” keni oksekin Mexko chanime kampa san semi kipiya’ke inse’sel tomin uan kitemoua keni tlatlaniske.	
In tomin tlatekipanolistli ipan achto tlane’neuilistli mokueptok tlen iyixnexkaujyo inmaseuali ipa inin tlen yotla chikome tlapouali uan ma’tlaktle xiujme, ika inin kauitl miyak oyoltoke inaltepechanime aki’ke kineki mochiuaske kampa kipiaske in tomin tekipanolistli keni kampa in okseki kate ipan tonantli, keni maske tlatekitiske, kalchi’chiuaske noso san tlapaleuiske, keni chantekitime iuan okseki tekiyotl, uan ojko kipiyaske tomin uan in tlakual kia’siske in tlamiloli tlen ika panoske.	
Inin tlapaleuiloli kuali kin uikas in altepechanime keni kixmatiske oksekin tomin tekipanolistli uan oksekin tlane’neuilistli keni Mexko chanime uan ojko kikauaske in tlen in altepeixnexkayo noso peuaske ki temoske keni kipiyaske tomin san in se’sel.	
Uan noyoujke kichiua uan kitemaka in tomin tlen kampa mokui ipan in iluime uan achto tlane’neuilis tlen ialtepeuj, inon kiitosneki tomintlamakayotl, ye ik inon kachi mochikaua tlen ialtepekayouj uan iyixnextilyo.	
Uan ojko itomintlamakayotl mochiujtok ipan maseual altepetl keni tomintekipanoloni uan tlaixnextilkayotl nononkua keni in okseki Mexkochanime, noyoujke mouika ika okseki tlayekanyotl uan mauesyotl tlen kipaleui’tok mayolto ipan ialtepeuj keni nononkua nechikolme, keni in tlane’neuilis noso intekipanol ipan inaltepechaniloni.	
29Okseki iluime tlen mochiua ipampa teotlane’neuilisme tlauel mopiya tlen moitas uan momatis ipain tonal amatl tlapouali tlen kaxtilankayotl.	[NEW_DOCUMENT: DOCid=10, lang=spa, DOCNAME= EL NIÑO HORTICULTOR ]. ~~~ EL NIÑO HORTICULTOR .
In chichikueyi teotonali, keni moi’tos, moyek tlali’tok ipan miyakten altepeme, keni in Tarahumaras tlen tlakpak chanime uan in koras tlen kate kampa itoka tonaltsintle uan in Tsotsiles tlen tlatsintla chanime, miyakpa ki’tosneki in tlen ixteuilistli keni chikaujyo tonaltsintle uan totonke tlen kipiya in aki itoka “Cristo”, inon moixmati ipan in altepetl, uan ichikaujyo tlaltikpaktli, uan itstiltis in moxikouani, inon kuali moixmatis kampa iuan kaxtilan chanime aki’ke kin yeualoua uan kinmo’moujtiya.	
Uan ojko, inon iluime kichikauiliya in ixnexkayo in nechikolua maseualme.	Se cuenta que ésta era una señora que tuvo un hijo.
Noyoujke yek kua’kuali in iluime tlen mochiua kema tikiniluiya “Santa Cruz”, tlen mochiua ipan makuili metstli ke’tlen mosaloua in tlen kema yi peua kiaui uan kema yi kuali tlatokalos.	Cuando nació lloraba mucho, ni siquiera quería mamar, sólo estaba llorando.
Ipan inin iluime, iuan okseki kinpaleuiya kenik yoli uan kenik moteki in tlaoli ino’ke moyekixmati’ke tleka inteotlme uitse “San Juan” uan ”Santiago”.	Su mamá empezó a registrarlo buscando qué podía dolerle y no encontró nada.
Inin mi’tolilisme uitse ompa kani ue’ka altpeuj tlen itoka “España” uan inon kilnamiki in tla’tlanilis in kaxtilanteotl tlane’neuiliyanime in yixpa inoksekinten chanime aki ochantiya’ke kampa altepetl tlen itoka “Peninsula Iberica” kema in tla’tlakoyan xiujtlapoualistli.	
In kaxtilan tla’touanime okualikake kampa Mexko ipan kaxtoli uan se xantil xiuitl uan okinkuike tlen ika okilnamikiyaya’ke ika in tla’tlanilis ipan maseualme, aki’ke okin iljui’ke mach a’mo kuali in tlane’neuilis aki okiniljuiyaya’ke “musulmanes”.	Entonces ordenó su mamá que se le preparase un atole blanco. ~~~ En seguida se lo hicieron como había ordenado.
Axan inin tonali miyak maseual altepeme kichiua’ke in iljuitl uan moyekitake, iuan kaxtilantla’tlanime uan iuan moixnamiki aki iuan a’mo mouika, aki’ke kuali yes maseualten aki’ke yi kampa iten xantil yopanok keni ino tlen iteko in kiauitl uan koujtla’tle uan noyoujke yoltlane’neuilis intlen xiujtlamiloli.	
Miyakten in iluime mochiujtoke ue’ka tlen kani in altepetl, ailama’me ipan in tlakoyoujtli kampa moneltoka chanti’toke in teotlme.	Mientras preparaban lo que había de tomar el niño para contentarlo, pues lloraba mucho, la señora madre estaba inquieta.
Ika inon in “Mayas“ chanime, ompa omo se’seknitlali’ke in tlen mauesyotl mochiua ipan teopa uan ipa altepetl, inon ki’tosneki kachi ye in tlen kitlalikan teotlaneltokayotl, uan in tlen mochiua ipan mili uan koujtla’tle.	
Okseki’ke iluime mochiua ika inmi’totilistli tlen itoka “moros” uan ”cristianos”, noso itla’tlen tla’tlaniloni, tlen mochiua ipan chikuase uan chikome metstli tonalme, kema in tonal panotoke in tlane’neuilis noso iuan okseki maseual altepeme aki kate inauak, aki kin iljuiya “moros” aki uitse kampa ompa kaxtilan altepetl, noso aki ueue’ka chani keni aki uitse kampa altpetl itoka “Francia”.	
Inin tlaixmatiloni kinextiya keni in maseualixmatilyotl tlen axan yankuik kayotl yokiyekne’neuili’ke keni oksekinten tlen uitse kampa ue’ka altepeme tlen itoka “Europa”.	Tan pronto como se coció el atole blanco, en seguida corrió la criada a llevárselo para que lo tomase el niño.
30In iluime tlen mochiua’ke keman tlami in xiuitl noyoujke mosalo’tok iuan in tekitlayekanchiualistli, tleka i’kuak inon kuali moyektlaliya in tlen san tlama ueyiyotl uanteotlane’neuilistli.	
Ipan inin iluime, in ue’ueyi tiachkame kiseliya’ke in koujtopil tlen ika tlayekanaske, okse koujtlayekanyotl tlen ki’tosneki inyaxkayo in teotlane’neuilisme uan chikauj tiachkauj tlayekanyotl.	
Ipan in nochi in xiuitl mochiua in iluime kampa omoitake in tlane’neuilisme uan ichtaka tlane’neuilisme kampa katki mo’mostle nemilistli: maseual tlapa’uiloni, tlaixtemoliloni, okseki.	
Ipa inon omonotsa inteotl mochiua tlaso’uilistli, mokui xiujpame uan okseki tlamanten tlen kipiya ichtaka chikaualistli.	Empezaron con mimos para que lo tomase y no quiso; pensaron que quería que se lo endulzaran.
Inin maseual tlane’neuilisme iuan moneloua okseki xantil tlamantlime tlen opano’ke iuan oksekinten tlen iyaxka in xantil tlaneltokilisme, uan oksekinten tlaichtaka kauilistli tlen uitse kayotl “Europa” uan ”África”.	
In teotlane’neuilisme tlen maseual achto kayo’me noyoujke iuan mosaloua in tlen nemilis tekipanolisme, tlayekanyotl, uan in altepechanime uan noyoujke tlen ika mo yek chiuas uan mopiyas ixnextilyo.	
Ika inon, in iluime tlen teotlaneltokilisme noyoujke iyaxkayo in altepeme, keni okiyeki’to Díaz Gómez. yAN kuIk TEOTLANELTO kALISMEIpa inin tlen tlantok mamatlaktle xiujpoualistli miyakten maseual Mexko chanime panotoke ipan tlen yayankuik teotlaneltokalisme, nononkua in tlen yoki piyaya’ke keni maseual teotlaneltokilis tlen kayotl ipan in altepeuan.	
Imiyakten in teotlane’neuilisme tlen a’mo moneltoka uan semi nonokuatiya ika ye’uan.	"Que se le endulce" [ordenaron], y se lo endulzaron.
Oksekinten maseualme kiantoke okseki yankuik keni tlen kaxtilan teotlaneltokilisme tlen aki’ke a’mo iuan mouika tlen yi kichiujtoke ipan ialtepeuan.	Mas tampoco quiso tomarlo. ~~~ Dijo la criada: —Iré a hacerle atole de elote.
In tlen yek tlano’notsal inin tlapa’tilisme yek miyak.	Se lo preparó y tampoco quiso tomarlo.
Uan kuali tiki’toske uan tik pouaske, a’mo timo poloske, tiki’toske tlen ayakmo kintlakamati in tiachkauj tlayekanali uan kin temoua keni mopatlaske ipan okse tlalpa.	Y como cada vez lloraba más, temió [la madre] que pudiese morir el niño, [y] ordenó a la criada: —Anda a llamar a la curandera, que venga a ver al niño que llora tanto y no quiere comer.
Keni ipan miyakten altpeme in tlen “achto tlane’neuilistli” auel moxitinis ika in tekitlalyekanchiualistli uan in tlen mochiua ipan tiachkaujtlayekanemilistli, inechikolme kin paktiya inin chiualistli uan ki’toua’ke keni a’mo kin paktiya kema mokuepa ipa okse tlen a’mo tlaneltokalistli.	
In tlen mopatla ika in teotlaneltokalistli kipeualtiya in tlen ika moxitiya ipan tiachkauj tlayekanyo altepetl, tleka aki a’mo tlaneltoka ayakmo kin paktiya tlen tlamantli ompa kate ipan in altepetl: ayakmo kineki’ke kichiuaske in tlen achto tekiyotl uan ayakmo kineki’ke kichiauske tekiyotlayekanyotl tlen onka ipan altepetl tleka kisaloua’ke ika tlen “achto tlane’neuilistli”, noyoujke ayakmo kimiajka mauestilia’ke in teotlakaitaloni.	
Inon kuali kichiuas nexikoli inepanko in altepetl uan kuali mochiuas ipan altepeme makin totokakan akin yankuike ayakmo teotlaneltokanime, tleka ojko kin itake keni ayakmo kuali tekitiske iuan ialtepechanikauan.	Salió la mujer en busca de la curandera para que fuese a ver o a curar al niño, que quién sabe qué es lo que tiene que llora tanto.
Oksekinten altepeme, keni seki otomime tlen ompa kate “Hidalgo”, ino’ke, moyekno’notstoke uan ki seli’toke in aki a’mo tlaneltokame makichiuakan in tekitl tlen a’mo kipiya kitas iuan in teoneltokalistli uan noyoujke kichiua’ke inokseki tekime ipa in altepeuj, tlen inon nononkua keni in tekiyotl tlen kipiya teotlaneltokalisme ipan okseki tlamantin in siuame mopatlake ipan iteotlaneltokilis uan ojko kitemoua’ke keni kuali kin yekanaske in maseual chanime.	
Keni tikitstoke in tekitlayekan chiualisme kachi kuali kin yektlaliya in tlakame uan ye’uan kikuaniya, ika inon in tlen a’mo tlaneltokalistli kachi kuali kitake.	Llegó la mujer a casa de la curandera, saludó, entró y dijo: —Ya me cansé.
Uan noyoujke, ipan miyak altepeme, in iluime tlen teotlaneltokalistle iuan moneloua iuan aki kachi tlauanaloni uan ojko kuali kichiuaske neteuiloni in tlakame ipampa siuame, ika inon kemaniya ye’uan kichia’ke in tlapatlaloni ipa nochi ichanikauan uan ojko ayakmo onka tlayilistli ika itlakauan uan ayakmo onka neteuilistli.	
